txn,cost,d
Hulu (Chase CC),21.99,2025-03-18
Geico,262.99,2025-03-20
ICPayment (Career Starter for Galadriel),449.17,2025-03-20
Google Mixi,6.44,2025-03-20
Tithing,605.0,2025-03-20
American Electric Power,81.17,2025-03-19
Embrace Pet Insurance,22.82,2025-03-12
Emergency Fund,50.0,2025-03-23
Gas,80.0,2025-03-23
Groceries,400.0,2025-03-23
Callie's Utah Trip,189.33,2025-03-15
Fast Offerings,10.0,2025-03-23
